Country,NumAirports,Degree,DegreeCentrality,Betweenness,Closeness,Eigenvector
Indonesia,63,19,0.08482142857142856,0.0014799887711394245,0.41869158878504675,0.03805441503948079
Russia,103,70,0.3125,0.01778805038703267,0.56,0.16492280561386993
Costa Rica,13,12,0.05357142857142857,0.0002681426393326676,0.41025641025641024,0.016695256455080906
Canada,204,65,0.2901785714285714,0.051269644565685356,0.5714285714285714,0.12587213962491542
Sweden,39,42,0.1875,0.00232638926834156,0.5161290322580645,0.12064948188036898
Philippines,37,24,0.10714285714285714,0.004080112570374977,0.47761194029850745,0.04777495088472805
United States,541,93,0.4151785714285714,0.17535282665851656,0.6274509803921569,0.15039563931126126
Mexico,56,25,0.11160714285714285,0.0044276308685311455,0.4890829694323144,0.05348363621750128
Vanuatu,27,5,0.02232142857142857,5.2550448430493276e-05,0.33383010432190763,0.0021753342516624987
Australia,113,34,0.15178571428571427,0.06310352345768089,0.49015317286652077,0.0460285888153016
Italy,36,80,0.3571428571428571,0.01750441695879068,0.5773195876288659,0.18420185327008678
China,173,63,0.28125,0.02857098641214136,0.5670886075949367,0.1361996881628749
Eritrea,2,7,0.03125,3.0779548366431776e-05,0.3702479338842975,0.010009916218444041
Haiti,2,8,0.03571428571428571,0.00015599469907690008,0.4400785854616896,0.015302655038410546
Argentina,36,21,0.09375,0.006786486312401941,0.469601677148847,0.042032812626886996
Colombia,48,22,0.09821428571428571,0.0014597224554091415,0.46764091858037576,0.03382992923805876
Ethiopia,13,49,0.21875,0.022489272844897365,0.5270588235294118,0.08812979872109325
Norway,49,38,0.16964285714285712,0.004858350715386444,0.5067873303167421,0.10894455410198203
Brazil,122,33,0.14732142857142858,0.00855992770156491,0.503370786516854,0.07025886550779774
Ukraine,13,34,0.15178571428571427,0.0011385252237109816,0.5022421524663677,0.10085465131996642
Thailand,32,55,0.24553571428571427,0.01577829535150084,0.5371702637889688,0.1259137183555409
Peru,19,20,0.08928571428571427,0.000943337773796122,0.459958932238193,0.031927163279913066
Somalia,5,6,0.026785714285714284,1.4639053491351698e-05,0.3978685612788632,0.01068338618267418
Bangladesh,8,19,0.08482142857142856,0.0015852498378419611,0.4409448818897638,0.04819360090025143
Kazakhstan,17,24,0.10714285714285714,0.0007265081576787578,0.4534412955465587,0.06366315845061267
Finland,19,38,0.16964285714285712,0.0015544681242636164,0.5125858123569794,0.11314181801473228
United Kingdom,52,99,0.4419642857142857,0.0633306118627157,0.6187845303867403,0.19991505220481076
Egypt,10,46,0.20535714285714285,0.009508706861265027,0.5308056872037915,0.11851273395290268
Iran,38,29,0.1294642857142857,0.00126073209778287,0.4666666666666667,0.07859051633241752
Botswana,4,5,0.02232142857142857,2.8797288225263564e-05,0.3595505617977528,0.004824199555286848
Madagascar,13,8,0.03571428571428571,0.0008307920818006151,0.43243243243243246,0.013484620764600547
Saudi Arabia,25,44,0.19642857142857142,0.010159350635517303,0.5270588235294118,0.10427573575712443
Sri Lanka,5,23,0.10267857142857142,0.000736558674111527,0.4666666666666667,0.061731429796206785
India,68,49,0.21875,0.016376905049137302,0.5384615384615384,0.11519419984238344
Switzerland,5,61,0.27232142857142855,0.007888723703058135,0.5544554455445545,0.15922362444698882
