Country,RemovedAirports,GCC_nodes_after,S_ratio_after,Drop_in_S_ratio
United States,541,2641,0.8284190715181933,0.17158092848180673
Canada,204,2983,0.9356963613550816,0.06430363864491839
China,173,3013,0.9451066499372648,0.05489335006273521
Brazil,122,3066,0.9617314930991218,0.03826850690087824
Australia,113,3073,0.9639272271016311,0.036072772898368854
Russia,103,3079,0.9658092848180677,0.034190715181932285
India,68,3120,0.9786700125470514,0.021329987452948562
Indonesia,63,3125,0.9802383939774153,0.0197616060225847
Japan,62,3126,0.9805520702634881,0.019447929736511882
France,55,3129,0.9814930991217063,0.018506900878293653
United Kingdom,52,3131,0.982120451693852,0.01787954830614802
Mexico,56,3132,0.9824341279799247,0.017565872020075313
Norway,49,3139,0.9846298619824341,0.015370138017565926
Colombia,48,3140,0.9849435382685069,0.01505646173149311
Turkey,43,3143,0.9858845671267252,0.01411543287327477
Spain,40,3148,0.9874529485570891,0.012547051442910906
Greece,39,3149,0.9877666248431619,0.012233375156838089
Sweden,39,3149,0.9877666248431619,0.012233375156838089
Iran,38,3150,0.9880803011292346,0.011919698870765383
Italy,36,3150,0.9880803011292346,0.011919698870765383
Argentina,36,3151,0.9883939774153074,0.011606022584692566
Philippines,37,3151,0.9883939774153074,0.011606022584692566
Germany,32,3155,0.9896486825595985,0.01035131744040152
Malaysia,32,3156,0.9899623588456713,0.010037641154328703
Thailand,32,3156,0.9899623588456713,0.010037641154328703
French Polynesia,27,3161,0.9915307402760352,0.00846925972396484
Vanuatu,27,3161,0.9915307402760352,0.00846925972396484
New Zealand,25,3162,0.9918444165621079,0.008155583437892133
Algeria,26,3162,0.9918444165621079,0.008155583437892133
Saudi Arabia,25,3163,0.9921580928481807,0.007841907151819316
Venezuela,23,3165,0.9927854454203262,0.007214554579673793
Papua New Guinea,23,3165,0.9927854454203262,0.007214554579673793
Pakistan,22,3166,0.993099121706399,0.006900878293600976
Finland,19,3167,0.9934127979924717,0.00658720200752827
Greenland,17,3167,0.9934127979924717,0.00658720200752827
South Africa,18,3168,0.9937264742785445,0.006273525721455453
Vietnam,20,3168,0.9937264742785445,0.006273525721455453
Costa Rica,13,3168,0.9937264742785445,0.006273525721455453
Peru,19,3169,0.9940401505646174,0.005959849435382636
Congo (Kinshasa),18,3170,0.9943538268506901,0.00564617314930993
Bahamas,17,3171,0.9946675031367629,0.005332496863237113
Kazakhstan,17,3171,0.9946675031367629,0.005332496863237113
Chile,16,3172,0.9949811794228356,0.005018820577164407
Solomon Islands,16,3172,0.9949811794228356,0.005018820577164407
Nigeria,16,3172,0.9949811794228356,0.005018820577164407
Kenya,16,3172,0.9949811794228356,0.005018820577164407
South Korea,15,3173,0.9952948557089084,0.00470514429109159
Burma,15,3173,0.9952948557089084,0.00470514429109159
Portugal,14,3174,0.9956085319949812,0.004391468005018773
Bolivia,14,3174,0.9956085319949812,0.004391468005018773
Angola,14,3174,0.9956085319949812,0.004391468005018773
Ecuador,14,3174,0.9956085319949812,0.004391468005018773
Madagascar,13,3175,0.9959222082810539,0.004077791718946067
Morocco,13,3175,0.9959222082810539,0.004077791718946067
Ukraine,13,3175,0.9959222082810539,0.004077791718946067
