Airport_ID,Name,Country,Degree,DegreeCentrality,Betweenness,Closeness,Eigenvector
2638,Eurico de Aguiar Salles Airport,Brazil,9,0.002823972387825541,0.0013088345735732738,0.26573834736929874,0.0014566141415400886
2252,Cassidy International Airport,Kiribati,2,0.0006275494195167869,0.0,0.25837049047426025,0.0003877427731912476
7976,Ukunda Airstrip,Kenya,1,0.00031377470975839345,0.0,0.18731632773010462,1.3712328682456604e-06
3682,Hartsfield Jackson Atlanta International Airport,United States,217,0.06808911201757138,0.031199413956037144,0.3760915742270474,0.0812193305409377
2734,Benito Salas Airport,Colombia,1,0.00031377470975839345,0.0,0.2496475011749961,0.00037686775929964976
1975,Tikehau Airport,French Polynesia,3,0.0009413241292751803,0.0,0.23049106819989876,3.756249012430092e-05
2917,Pavlodar Airport,Kazakhstan,3,0.0009413241292751803,0.0,0.2641087262782796,0.0017258542383404413
586,Eelde Airport,Netherlands,8,0.0025101976780671476,4.3669981837002636e-07,0.25027485471964817,0.005724104420071021
4314,Edward Bodden Airfield,Cayman Islands,2,0.0006275494195167869,0.0,0.23356540857456945,0.0002151789594355553
7508,Liping Airport,China,2,0.0006275494195167869,0.0,0.26680619506069486,0.0007324543073611184
5811,La Isabela International Airport,Dominican Republic,2,0.0006275494195167869,3.737758103569779e-08,0.23991267690454682,0.00033762536970860003
877,Francistown Airport,Botswana,2,0.0006275494195167869,0.0,0.2621103709186611,0.0004967716815208679
2243,Rota International Airport,Northern Mariana Islands,2,0.0006275494195167869,0.0,0.23112626006236855,0.00015318614531102133
5775,Victoria Regional Airport,United States,1,0.00031377470975839345,0.0,0.2757158923782334,0.0009374889728606054
1036,Goma International Airport,Congo (Kinshasa),4,0.0012550988390335738,0.00247001521206581,0.19014378617027625,1.8407662198406795e-06
3386,Hangzhou Xiaoshan International Airport,China,72,0.022591779102604327,0.0014223617238840601,0.32133494656180683,0.018192236693791542
2340,Aomori Airport,Japan,5,0.0015688735487919673,5.758795048756887e-05,0.2788764438221911,0.0014342097450315992
5861,Enua Airport,Cook Islands,2,0.0006275494195167869,0.0,0.22826242658644894,2.235739359014921e-05
2647,Pdte. Carlos Ibañez del Campo Airport,Chile,5,0.0015688735487919673,0.0005704502961534085,0.25195667641710806,0.00023308453555855057
5885,Pointe Vele Airport,Wallis and Futuna,1,0.00031377470975839345,0.0,0.19166466201587684,1.2649551267254164e-06
6460,Gustaf III Airport,France,7,0.0021964229683087543,1.6969637729055097e-05,0.2506488399528116,0.0010611934235958437
797,Cape Town International Airport,South Africa,22,0.006903043614684656,0.0017612036021622908,0.3101099542668094,0.008335579855616136
1937,South Bimini Airport,Bahamas,1,0.00031377470975839345,0.0,0.25074744295830054,0.0005799806945889107
3613,Savannah Hilton Head International Airport,United States,13,0.004079071226859115,2.855542890379287e-08,0.3041320736711518,0.012660755391635022
4016,Roanoke–Blacksburg Regional Airport,United States,9,0.002823972387825541,1.3625934589426488e-05,0.2928420472296242,0.006724336512140945
3394,Longdongbao Airport,China,48,0.015061186068402885,0.0004469078498210661,0.29327321247814486,0.010848711902599244
6383,Lianyungang Airport,China,13,0.004079071226859115,6.401806843029857e-06,0.2890178652398658,0.0044086118643729185
48,Dawson Creek Airport,Canada,2,0.0006275494195167869,6.82575876153599e-05,0.2641087262782796,0.0005429687969497035
6727,Puvirnituq Airport,Canada,4,0.0012550988390335738,0.002834037716427337,0.20913445764157754,2.7303987114974696e-05
7546,Persian Gulf International Airport,Iran,5,0.0015688735487919673,0.0,0.23070797741421747,0.00026470288242676806
5724,Raleigh County Memorial Airport,United States,2,0.0006275494195167869,0.0,0.2744574578022735,0.0011199578196148642
472,Gloucestershire Airport,United Kingdom,1,0.00031377470975839345,0.0,0.21574600595721635,0.00011277864955431765
920,Sainte Marie Airport,Madagascar,3,0.0009413241292751803,0.0,0.23712797619047618,0.00017054242845735868
4008,Piedmont Triad International Airport,United States,14,0.004392845936617509,3.036260658494139e-05,0.3045680428134557,0.011122997262763775
1138,Eldoret International Airport,Kenya,3,0.0009413241292751803,0.0,0.25120201781350987,0.0004216084289115118
5478,Cat Lake Airport,Canada,2,0.0006275494195167869,0.0,0.18160578950367542,3.502749333586677e-07
4330,Imam Khomeini International Airport,Iran,44,0.013806087229369312,0.0005948270012456886,0.334487825356843,0.03754294041862575
3928,Juanda International Airport,Indonesia,26,0.00815814245371823,0.0013643477006664026,0.2906520747834017,0.004219246765296308
3816,Modesto City Co-Harry Sham Field,United States,1,0.00031377470975839345,0.0,0.27165018752130926,0.0008474538273082442
4371,Naryan Mar Airport,Russia,3,0.0009413241292751803,1.2035581093494688e-06,0.21423769830599623,9.474200160132691e-05
9026,Lensk Airport,Russia,2,0.0006275494195167869,0.0,0.22990910402539316,0.00019414891521815617
1808,Licenciado Miguel de la Madrid Airport,Mexico,2,0.0006275494195167869,0.0,0.263780830988247,0.0006429451817023245
5680,Gode Airport,Ethiopia,1,0.00031377470975839345,0.0,0.20411169463302165,6.825045081432666e-06
7192,Shaktoolik Airport,United States,3,0.0009413241292751803,0.0,0.18906092424512072,2.9585145291562172e-06
709,Halmstad Airport,Sweden,4,0.0012550988390335738,3.35142853995752e-06,0.26465703371532967,0.0015238160656932986
4195,Paros National Airport,Greece,1,0.00031377470975839345,0.0,0.25520499679692504,0.0012408663223818276
5901,Lamap Airport,Vanuatu,2,0.0006275494195167869,0.0,0.20794727913349864,9.654528416774505e-06
1645,Mostar International Airport,Bosnia and Herzegovina,1,0.00031377470975839345,0.0,0.22959440962466682,0.0006975889567989163
1611,Linz Hörsching Airport,Austria,8,0.0025101976780671476,8.058996529075563e-07,0.2985200449606594,0.009885242862245945
5633,Namibe Airport,Angola,1,0.00031377470975839345,0.0,0.24954976117766817,0.0003094491900932222
3976,Hodeidah International Airport,Yemen,4,0.0012550988390335738,0.0,0.2727428326914848,0.0023994229919865944
2725,San Luis Airport,Colombia,1,0.00031377470975839345,0.0,0.2496475011749961,0.00037686775929964976
1209,Zadar Airport,Croatia,24,0.007530593034201442,6.893954492091937e-05,0.30057530887484674,0.020545729984260186
2719,Gustavo Artunduaga Paredes Airport,Colombia,1,0.00031377470975839345,0.0,0.2496475011749961,0.00037686775929964976
132,Rankin Inlet Airport,Canada,11,0.003451521807342328,0.001840066559725466,0.23523767345733687,0.00012566442013195578
1234,Pamplona Airport,Spain,1,0.00031377470975839345,0.0,0.276529284164859,0.0017618211187308854
3094,Gwalior Airport,India,1,0.00031377470975839345,0.0,0.2558606294155427,0.0005576042419671317
6747,Gorgan Airport,Iran,5,0.0015688735487919673,2.093144537999076e-07,0.2640868412330129,0.00107784738688802
1563,Peretola Airport,Italy,26,0.00815814245371823,7.349034279968517e-06,0.3102609034267913,0.03583061889837167
1468,Mikonos Airport,Greece,11,0.003451521807342328,1.5149892392893596e-07,0.3018850052098134,0.016492927557130294
5597,Ängelholm-Helsingborg Airport,Sweden,2,0.0006275494195167869,2.633778984072123e-06,0.2646130853537031,0.0014180213406464956
3627,James M Cox Dayton International Airport,United States,16,0.005020395356134295,3.4228920269130084e-08,0.30185641219928017,0.012853778577996985
2328,Izumo Airport,Japan,1,0.00031377470975839345,0.0,0.2571613007342855,0.00032806533434800945
4335,Key Field,United States,1,0.00031377470975839345,0.0,0.27332761578044595,0.0011634124699620718
3520,Ronald Reagan Washington National Airport,United States,91,0.028553498588013804,0.0012718746182419456,0.32464092900071306,0.035639891031501184
2222,Shaikh Zaid Airport,Pakistan,3,0.0009413241292751803,0.0,0.27504962457926985,0.0015031467259323259
3015,Dr. Babasaheb Ambedkar International Airport,India,8,0.0025101976780671476,5.4482799945346845e-06,0.26981036234337963,0.002097977596031643
4020,Gallatin Field,United States,7,0.0021964229683087543,6.211745741212934e-06,0.28565026440799496,0.004570306813222257
1985,Mataiva Airport,French Polynesia,2,0.0006275494195167869,0.0,0.23047439976858547,3.69935209124413e-05
6969,Begishevo Airport,Russia,7,0.0021964229683087543,9.457513272542989e-07,0.2875834686879625,0.006292117079458064
6377,Pu'er Simao Airport,China,1,0.00031377470975839345,0.0,0.2371809183597529,0.00025729900129184825
5723,Western Neb. Rgnl/William B. Heilig Airport,United States,1,0.00031377470975839345,0.0,0.2607166230366492,0.0007010365116174671
2762,El Alto International Airport,Bolivia,17,0.005334170065892689,0.004335305603174444,0.268040370058873,0.0017450773162559175
7003,Ulyanovsk Baratayevka Airport,Russia,2,0.0006275494195167869,0.0,0.26286704058066646,0.00148699457371878
5718,Waterloo Regional Airport,United States,1,0.00031377470975839345,0.0,0.2801019511337669,0.0012884954650836495
2456,Vicecomodoro Angel D. La Paz Aragonés Airport,Argentina,1,0.00031377470975839345,0.0,0.2130774888012302,2.4730941238910718e-05
3652,Midland International Airport,United States,7,0.0021964229683087543,3.319357850949619e-06,0.2878692078403035,0.0037094089335919117
5571,Westray Airport,United Kingdom,2,0.0006275494195167869,0.0,0.20305829882128065,3.3876950513811735e-05
