attack_type,step,removed_percent,lcc_fraction
random,0,0.0,3185
random,1,0.0009410288582183187,3182
random,2,0.0018820577164366374,3178
random,3,0.0028230865746549563,3175
random,4,0.0037641154328732747,3172
random,5,0.004705144291091593,3169
random,6,0.0056461731493099125,3166
random,7,0.006587202007528231,3132
random,8,0.0075282308657465494,3129
random,9,0.008469259723964869,3117
random,10,0.009410288582183186,3114
random,11,0.010351317440401506,3111
random,12,0.011292346298619825,3108
random,13,0.012233375156838143,3105
random,14,0.013174404015056462,3101
random,15,0.014115432873274781,3098
random,16,0.015056461731493099,3095
random,17,0.015997490589711418,3092
random,18,0.016938519447929738,3086
random,19,0.017879548306148057,3083
random,20,0.018820577164366373,3080
random,21,0.019761606022584692,3076
random,22,0.02070263488080301,3073
random,23,0.02164366373902133,3070
random,24,0.02258469259723965,3067
random,25,0.023525721455457966,3063
random,26,0.024466750313676285,3060
random,27,0.025407779171894605,3057
random,28,0.026348808030112924,3054
random,29,0.027289836888331243,3050
random,30,0.028230865746549563,2961
random,31,0.02917189460476788,2959
random,32,0.030112923462986198,2956
random,33,0.031053952321204517,2953
random,34,0.031994981179422836,2950
random,35,0.032936010037641156,2947
random,36,0.033877038895859475,2944
random,37,0.034818067754077794,2939
random,38,0.035759096612296114,2932
random,39,0.036700125470514426,2924
random,40,0.037641154328732745,2921
random,41,0.038582183186951065,2919
random,42,0.039523212045169384,2915
random,43,0.0404642409033877,2912
random,44,0.04140526976160602,2906
random,45,0.04234629861982434,2904
random,46,0.04328732747804266,2901
random,47,0.04422835633626098,2898
random,48,0.0451693851944793,2895
random,49,0.04611041405269762,2887
hub,0,0.0,3184
hub,1,0.0009410288582183187,3158
hub,2,0.0018820577164366374,3145
hub,3,0.0028230865746549563,3106
hub,4,0.0037641154328732747,3093
hub,5,0.004705144291091593,3084
hub,6,0.0056461731493099125,3075
hub,7,0.006587202007528231,3071
hub,8,0.0075282308657465494,3060
hub,9,0.008469259723964869,3041
hub,10,0.009410288582183186,3033
hub,11,0.010351317440401506,3021
hub,12,0.011292346298619825,2995
hub,13,0.012233375156838143,2991
hub,14,0.013174404015056462,2977
hub,15,0.014115432873274781,2959
hub,16,0.015056461731493099,2949
hub,17,0.015997490589711418,2941
hub,18,0.016938519447929738,2931
hub,19,0.017879548306148057,2923
hub,20,0.018820577164366373,2903
hub,21,0.019761606022584692,2890
